uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,3
AC,OUTRAS,DOMICILIO,"< 9",M,11
AC,OUTRAS,HOSPITAL,"< 9",F,33
AC,OUTRAS,HOSPITAL,"< 9",I,1
AC,OUTRAS,HOSPITAL,"< 9",M,29
AC,OUTRAS,OUTRO,"< 9",F,2
AC,OUTRAS,OUTRO,"< 9",M,2
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AC,OUTRAS,VIA_PUBLICA,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",F,4
AC,COVID,HOSPITAL,"< 9",M,5
AC,INDETERMINADA,HOSPITAL,"< 9",F,1
AC,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,7
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,14
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AC,PNEUMONIA,DOMICILIO,"< 9",F,1
AC,PNEUMONIA,HOSPITAL,"< 9",F,11
AC,PNEUMONIA,HOSPITAL,"< 9",M,11
AC,SEPTICEMIA,HOSPITAL,"< 9",F,23
AC,SEPTICEMIA,HOSPITAL,"< 9",M,34
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
AC,SRAG,HOSPITAL,"< 9",F,1
AL,OUTRAS,DOMICILIO,"< 9",F,8
AL,OUTRAS,DOMICILIO,"< 9",M,16
AL,OUTRAS,HOSPITAL,"< 9",F,156
AL,OUTRAS,HOSPITAL,"< 9",I,3
AL,OUTRAS,HOSPITAL,"< 9",M,133
AL,OUTRAS,OUTRO,"< 9",F,2
AL,OUTRAS,OUTRO,"< 9",M,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
AL,OUTRAS,VIA_PUBLICA,"< 9",F,1
AL,OUTRAS,VIA_PUBLICA,"< 9",M,1
AL,COVID,HOSPITAL,"< 9",F,12
AL,COVID,HOSPITAL,"< 9",M,8
AL,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,INDETERMINADA,DOMICILIO,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,2
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,13
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,18
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AL,PNEUMONIA,DOMICILIO,"< 9",M,3
AL,PNEUMONIA,HOSPITAL,"< 9",F,14
AL,PNEUMONIA,HOSPITAL,"< 9",M,8
AL,SEPTICEMIA,HOSPITAL,"< 9",F,44
AL,SEPTICEMIA,HOSPITAL,"< 9",M,65
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AL,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
AL,SRAG,HOSPITAL,"< 9",F,2
AL,SRAG,HOSPITAL,"< 9",M,4
AM,OUTRAS,DOMICILIO,"< 9",F,24
AM,OUTRAS,DOMICILIO,"< 9",M,27
AM,OUTRAS,HOSPITAL,"< 9",F,171
AM,OUTRAS,HOSPITAL,"< 9",I,1
AM,OUTRAS,HOSPITAL,"< 9",M,248
AM,OUTRAS,IGNORADO,"< 9",M,3
AM,OUTRAS,OUTRO,"< 9",F,14
AM,OUTRAS,OUTRO,"< 9",M,23
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,OUTRAS,VIA_PUBLICA,"< 9",F,1
AM,OUTRAS,VIA_PUBLICA,"< 9",M,1
AM,COVID,DOMICILIO,"< 9",F,1
AM,COVID,HOSPITAL,"< 9",F,12
AM,COVID,HOSPITAL,"< 9",M,17
AM,COVID,OUTRO,"< 9",F,3
AM,INDETERMINADA,DOMICILIO,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,11
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,23
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,3
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AM,PNEUMONIA,DOMICILIO,"< 9",F,1
AM,PNEUMONIA,DOMICILIO,"< 9",M,1
AM,PNEUMONIA,HOSPITAL,"< 9",F,23
AM,PNEUMONIA,HOSPITAL,"< 9",M,30
AM,PNEUMONIA,OUTRO,"< 9",F,4
AM,PNEUMONIA,OUTRO,"< 9",M,2
AM,SEPTICEMIA,DOMICILIO,"< 9",M,1
AM,SEPTICEMIA,HOSPITAL,"< 9",F,70
AM,SEPTICEMIA,HOSPITAL,"< 9",M,103
AM,SEPTICEMIA,OUTRO,"< 9",F,5
AM,SEPTICEMIA,OUTRO,"< 9",M,6
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AM,SRAG,DOMICILIO,"< 9",F,1
AM,SRAG,HOSPITAL,"< 9",M,3
AP,OUTRAS,DOMICILIO,"< 9",F,1
AP,OUTRAS,DOMICILIO,"< 9",M,1
AP,OUTRAS,HOSPITAL,"< 9",F,24
AP,OUTRAS,HOSPITAL,"< 9",M,31
AP,OUTRAS,OUTRO,"< 9",M,3
AP,OUTRAS,POSTO_SAUDE,"< 9",M,1
AP,COVID,HOSPITAL,"< 9",F,1
AP,COVID,HOSPITAL,"< 9",M,3
AP,INDETERMINADA,HOSPITAL,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
AP,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,PNEUMONIA,DOMICILIO,"< 9",F,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,8
AP,PNEUMONIA,HOSPITAL,"< 9",M,3
AP,SEPTICEMIA,HOSPITAL,"< 9",F,9
AP,SEPTICEMIA,HOSPITAL,"< 9",M,8
AP,SRAG,HOSPITAL,"< 9",F,3
AP,SRAG,HOSPITAL,"< 9",M,1
BA,OUTRAS,DOMICILIO,"< 9",F,23
BA,OUTRAS,DOMICILIO,"< 9",M,39
BA,OUTRAS,HOSPITAL,"< 9",F,359
BA,OUTRAS,HOSPITAL,"< 9",I,14
BA,OUTRAS,HOSPITAL,"< 9",M,429
BA,OUTRAS,IGNORADO,"< 9",F,2
BA,OUTRAS,OUTRO,"< 9",F,1
BA,OUTRAS,OUTRO,"< 9",M,3
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,13
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,22
BA,OUTRAS,VIA_PUBLICA,"< 9",F,1
BA,OUTRAS,VIA_PUBLICA,"< 9",M,3
BA,COVID,DOMICILIO,"< 9",F,1
BA,COVID,HOSPITAL,"< 9",F,28
BA,COVID,HOSPITAL,"< 9",M,26
BA,COVID,OUTRO,"< 9",M,1
BA,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
BA,COVID,VIA_PUBLICA,"< 9",F,1
BA,INDETERMINADA,HOSPITAL,"< 9",F,1
